+----+------------+---------+---------+---------+---------+------------------+-----------+-------------------+---------------------+
|    | Date       |    Open |    High |     Low |   Close |   Adjusted Close |    Volume |   Dividend Amount |   Split Coefficient |
| 75 | 2023-03-02 | 186.74  | 193.75  | 186.01  |  190.9  |           190.9  | 181979154 |                 0 |                   1 |
| 76 | 2023-03-01 | 206.21  | 207.2   | 198.52  |  202.77 |           202.77 | 156852790 |                 0 |                   1 |
| 77 | 2023-02-28 | 210.59  | 211.23  | 203.75  |  205.71 |           205.71 | 153144912 |                 0 |                   1 |
| 78 | 2023-02-27 | 202.03  | 209.42  | 201.26  |  207.63 |           207.63 | 161028315 |                 0 |                   1 |
| 79 | 2023-02-24 | 196.325 | 197.669 | 192.8   |  196.88 |           196.88 | 142228105 |                 0 |                   1 |
| 80 | 2023-02-23 | 203.91  | 205.14  | 196.33  |  202.07 |           202.07 | 146359950 |                 0 |                   1 |
| 81 | 2023-02-22 | 197.93  | 201.99  | 191.78  |  200.86 |           200.86 | 191828457 |                 0 |                   1 |
| 82 | 2023-02-21 | 204.99  | 209.71  | 197.22  |  197.37 |           197.37 | 180018588 |                 0 |                   1 |
| 83 | 2023-02-17 | 199.985 | 208.44  | 197.5   |  208.31 |           208.31 | 213738549 |                 0 |                   1 |
| 84 | 2023-02-16 | 210.78  | 217.65  | 201.84  |  202.04 |           202.04 | 229586538 |                 0 |                   1 |
| 85 | 2023-02-15 | 211.755 | 214.66  | 206.11  |  214.24 |           214.24 | 182108581 |                 0 |                   1 |
| 86 | 2023-02-14 | 191.94  | 209.82  | 189.44  |  209.25 |           209.25 | 216455708 |                 0 |                   1 |
| 87 | 2023-02-13 | 194.415 | 196.3   | 187.61  |  194.64 |           194.64 | 172475452 |                 0 |                   1 |
| 88 | 2023-02-10 | 202.225 | 206.2   | 192.89  |  196.89 |           196.89 | 204754129 |                 0 |                   1 |
| 89 | 2023-02-09 | 207.775 | 214     | 204.77  |  207.32 |           207.32 | 215431442 |                 0 |                   1 |
| 90 | 2023-02-08 | 196.1   | 203     | 194.31  |  201.29 |           201.29 | 180673644 |                 0 |                   1 |
| 91 | 2023-02-07 | 196.43  | 197.5   | 189.55  |  196.81 |           196.81 | 186010325 |                 0 |                   1 |
| 92 | 2023-02-06 | 193.01  | 198.17  | 189.92  |  194.76 |           194.76 | 186188131 |                 0 |                   1 |
| 93 | 2023-02-03 | 183.95  | 199     | 183.69  |  189.98 |           189.98 | 232662023 |                 0 |                   1 |
| 94 | 2023-02-02 | 187.325 | 196.75  | 182.61  |  188.27 |           188.27 | 217448287 |                 0 |                   1 |
| 95 | 2023-02-01 | 173.89  | 183.805 | 169.93  |  181.41 |           181.41 | 213806323 |                 0 |                   1 |
| 96 | 2023-01-31 | 164.57  | 174.3   | 162.78  |  173.22 |           173.22 | 196813541 |                 0 |                   1 |
| 97 | 2023-01-30 | 178.05  | 179.77  | 166.5   |  166.66 |           166.66 | 230878807 |                 0 |                   1 |
| 98 | 2023-01-27 | 162.43  | 180.68  | 161.17  |  177.9  |           177.9  | 306590613 |                 0 |                   1 |
| 99 | 2023-01-26 | 159.965 | 161.42  | 154.76  |  160.27 |           160.27 | 234815090 |                 0 |                   1 |
+----+------------+---------+---------+---------+---------+------------------+-----------+-------------------+---------------------+
